sponsor_id,creator_id,rating
50156.0,400825.0,1276225.2
50156.0,231857.0,1497851.4
50156.0,264256.0,1289604.5
50156.0,240004.0,1831236.2
50156.0,518681.0,1641429.0
50156.0,221270.0,1357756.4
50156.0,513736.0,2182042.0
50156.0,532988.0,1592157.9
50156.0,498514.0,1453542.4
50156.0,501782.0,1428223.3
50156.0,621847.0,1611114.9
50156.0,306774.0,1689168.7
50156.0,250563.0,703619.4000000001
50156.0,885093.0,1776586.9
50156.0,278242.0,1935468.1
50156.0,933877.0,1906013.1
50156.0,449381.0,1937044.1
50156.0,685901.0,2158027.7
50156.0,113168.0,1926074.6
50156.0,588457.0,2261664.6
50156.0,118801.0,1409217.9
50156.0,594537.0,1635082.2000000002
50156.0,721187.0,1439931.7
50156.0,925912.0,2036971.0
50156.0,246518.0,2461643.9
50156.0,356880.0,1254194.7
50156.0,936215.0,1811044.6
50156.0,264489.0,1785362.3
50156.0,970175.0,1763922.2000000002
50156.0,462982.0,1224067.7
50156.0,894159.0,1269600.1
50156.0,682664.0,1136537.6
50156.0,930516.0,1307343.8
50156.0,741226.0,1553264.1
50156.0,561789.0,1751457.4
50156.0,478167.0,1646631.0
50156.0,409734.0,1853944.7
50156.0,855205.0,1711424.8
50156.0,913412.0,1515059.6
50156.0,762670.0,895457.5000000001
50156.0,829166.0,1795563.3000000005
50156.0,630204.0,1145486.5
50156.0,403905.0,1815094.2
50156.0,194453.0,1410848.6
50156.0,778531.0,895855.2
50156.0,770337.0,1569548.0
50156.0,362743.0,2006556.4
50156.0,167941.0,2418248.7
50156.0,730244.0,1462107.7000000002
50156.0,411684.0,1795281.6
50156.0,122360.0,2293881.4000000004
50156.0,804016.0,1548602.0
50156.0,543397.0,1615694.2
50156.0,818792.0,2246026.5
50156.0,672692.0,656479.5
50156.0,356481.0,1980862.0
50156.0,980287.0,1470587.2000000002
50156.0,525387.0,1506126.1000000003
50156.0,998162.0,1804182.3000000005
50156.0,270371.0,2036154.9000000004
50156.0,508393.0,1580136.1000000003
50156.0,656978.0,1862597.8
50156.0,225315.0,1501242.7
50156.0,855554.0,2595345.2
50156.0,194982.0,1798708.4
50156.0,782038.0,1972666.4
50156.0,844472.0,2161806.0
50156.0,168547.0,2459591.9000000004
50156.0,481844.0,1989645.5
50156.0,305026.0,1746388.8
50156.0,172148.0,729186.2000000001
50156.0,728819.0,1951762.6
50156.0,821871.0,1428250.3
50156.0,131870.0,2239819.4
50156.0,157901.0,2064603.0
50156.0,627818.0,1595659.9
50156.0,831642.0,1921996.3
50156.0,803187.0,2237742.3000000003
50156.0,455253.0,1590677.7
50156.0,494509.0,1877951.3000000005
50156.0,638422.0,1565508.0
50156.0,733313.0,1745461.4
50156.0,968076.0,2253554.6
50156.0,930779.0,1534584.1
50156.0,890764.0,654406.5
50156.0,911349.0,1223171.5000000002
50156.0,389605.0,1019091.7
50156.0,294816.0,1836172.6
50156.0,486384.0,1500974.5000000002
50156.0,967394.0,1638977.8
50156.0,193689.0,1798568.4
50156.0,398797.0,1566493.0
50156.0,829646.0,2032375.7
50156.0,579400.0,2101322.8000000003
50156.0,900835.0,2534226.4
50156.0,445528.0,1813719.4
